Botanical Names,Genus,Family,Kingdom,Clade,Leaves,Flowers,Seed,Fruits,Stems,Petioles,Roots,Bark,Rhizome,Outcome
Acacia retinodes,Acacia,Fabaceae,Plantae,"Tracheophytes, Angiosperms,Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Abutilon lignosum,Abutilon,Malvaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots, Rosids",0,1,0,0,0,0,0,0,0,0
Abutilon trisulcatum,Abutilon,Malvaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots, Rosids",1,0,0,0,0,0,0,0,0,0
Acacia bilimekii,Acacia,Fabaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots, Rosids",1,0,0,0,0,0,0,0,0,0
Acacia farnesiana,Vachellia,Fabaceae,Plantae,"Tracheophytes,  Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Achillea fragrantissima,Achillea,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Aconitum ferox,Aconitum,Ranunculaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots",0,0,0,0,0,0,1,0,0,0
Aconitum palmatum,Aconitum,Ranunculaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Acrocomia Mexicana,Arecaceae,Acrocomia,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",0,0,0,0,0,0,1,0,0,0
Adansonia digitata,Adansonia,Malvaceae,Plantae,"Tracheophytes,  Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Adiantum capillus-veneris,Adiantum,Pteridaceae,Plantae,Tracheophytes,1,1,1,1,1,1,1,1,1,1
Adiantum caudatum,Adiantum,Pteridaceae,Plantae,Tracheophytes,1,0,0,0,0,0,0,0,0,0
Agapetes sikkimensis,Agapetes,Ericaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Agastache mexicana,Agastache,Lamiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,        Asterids",1,1,1,1,1,1,0,0,0,0
Agave atrovirens,Agave,Asparagaceae,Plantae,"Tracheophytes, Angiosperm,        Monocots",1,0,0,0,0,0,0,0,0,0
Agave lecheguilla,Agave,Asparagaceae,Plantae,"Tracheophytes, Angiosperm, Monocots",1,0,0,0,1,0,0,0,0,0
Agave salmiana,Agave,Asparagaceae,Plantae,"Tracheophytes, Angiosperm, Monocots",1,0,0,0,0,0,0,0,0,0
Ageratina petiolaris,Ageratina,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Ajuga bracteosa,Ajuga,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Ajuga remota,Ajuga,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Albizia amara,Albizia,Fabaceae,Plantae,"Tracheophytes,  Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Allionia choisyi,Allionia,Nyctaginaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,1,1,1,1
Aloe excelsa,Aloe,Asphodelaceae,Plantae,"Tracheophytes, Angiosperm, Monocots",1,0,0,0,0,0,0,0,0,0
Aloe arborescens,Aloe,Asphodelaceae,Plantae,"Tracheophytes, Angiosperm, Monocots",1,0,0,0,0,0,0,0,0,0
Alternanthera sessilis,Alternanthera,Amaranthaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,1,1,1,1
Alpinia galanga,Alpinia,Zingiberaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",0,0,0,0,0,0,0,0,1,0
Amaranthus esculantus,Amaranthus,Amaranthaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,1,1,1,1
Amomum aromaticum,Amomum,Zingiberaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",0,0,0,0,0,0,1,0,0,0
Amomum subulatum,Amomum,Zingiberaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",0,0,0,0,0,0,1,0,0,0
Amorphophallus konjac,Amorphophallus,Araceae,Plantae,"Tracheophytes, Angiosperm, Monocots",0,0,0,0,0,0,0,0,1,0
Amphipterygium adstringens,Amphipterygium,Anacardiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Andrographis lineata,Andrographis,Acanthaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Andropogon citratus,Andropogon,Poaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",1,1,1,1,1,1,0,0,0,0
Ananas comosus,Ananas,Bromeliaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",1,0,0,1,0,0,0,0,0,0
Anemopsis californica,Anemopsis,Saururaceae,Plantae,"Tracheophytes,Angiosperms, Magnoliids",1,0,0,0,0,0,1,0,0,0
Annona cherimola,Annona,Annonaceae,Plantae,"Tracheophytes,Angiosperms, Magnoliids",1,0,0,0,0,0,0,1,0,0
Annona glabra,Annona,Annonaceae,Plantae,"Tracheophytes,Angiosperms, Magnoliids",1,0,0,0,0,0,0,0,0,0
Anthemis herba-alba,Anthemis,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Anthocephalus indicus,Anthocephalus,Rubiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,0,1,0,0
Anthocleista nobilis,Anthocleista,Gentianaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,0,1,0,0
Anthocleista rhizophoroides,Anthocleista,Gentianaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,0,1,0,0
Apodanthera buraeavi,Apodanthera,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,0,0,0,0
Aporocactus flagelliformis,Aporocactus,Cactaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,0,1,0,0,0,0,0
Aporosa lanceolata,Aporosa,Phyllanthaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Aquilaria agallocha,Aquilaria,Thymelaeaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,1,0,0,0,0,0
Arceuthobium vaginatum,Arceuthobium,Santalaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,1,1,1,1
Arctostaphylos uva-ursi,Arctostaphylos,Ericaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,1,0,0,0,0,0,0
Argemone mexicana,Argemone,Papaveraceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,0,0,1,0,0,0,0,0,0
Argemone ochroleuca,Argemone,Papaveraceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,0,1,0,1,0,0,0
Argyreia nervosa,Argyreia,Convolvulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Aristolochia anguicida,Aristolochia,Aristolochiaceae,Plantae,"Tracheophytes,Angiosperms, Magnoliids",0,0,0,0,0,0,1,0,0,0
Aristolochia brevipes,Aristolochia,Aristolochiaceae,Plantae,"Tracheophytes,Angiosperms, Magnoliids",0,0,0,0,0,0,1,0,0,0
Aristolochia maxima,Aristolochia,Aristolochiaceae,Plantae,"Tracheophytes,Angiosperms, Magnoliids",0,0,0,0,0,0,1,0,0,0
Aristolochia odoratissima,Aristolochia,Aristolochiaceae,Plantae,"Tracheophytes,Angiosperms, Magnoliids",0,0,0,0,0,0,1,0,0,0
Aristolochia pilosa,Aristolochia,Aristolochiaceae,Plantae,"Tracheophytes,Angiosperms, Magnoliids",0,0,0,0,0,0,1,0,0,0
Aristolochia trilobata,Aristolochia,Aristolochiaceae,Plantae,"Tracheophytes,Angiosperms, Magnoliids",1,0,0,0,0,0,0,0,0,0
Arracacia brandegei,Arracacia,Apiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Artemisia abyssinica,Artemisia,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Artemisia ludoviciana,Artemisia,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Artocarpus altilis,Artocarpus,Moraceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Astragalus crotalariae,Astragalus,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
Atractylodes ovata,Atractylodes,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Atropa belladonna,Atropa,Solanaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Auricularia auricula-judae,Auricularia,Auriculariaceae,Fungi,,0,0,0,1,0,0,0,0,0,0
Avena sativa,Avena,Poaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",1,1,1,1,1,1,1,1,1,1
Averrhoa carambola,Averrhoa,Oxalidaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Baccharis salicifolia,Baccharis,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Baccharis trimera,Baccharis,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Barleria noctiflora,Barleria,Acanthaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Barringtonia acutangula,Barringtonia,Lecythidaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,1,0,0,1,0,0
Bauhinia divaricata,Bauhinia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Bergenia stracheyi,Bergenia,Saxifragaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,0,0,0,1,0,0,0
Billia hippocastanum,Billia,Sapindaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,0,0,0,0
Bidens aurea,Bidens,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Bidens leucantha,Bidens,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Bidens odorata,Bidens,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Borreria verticillata ,Borreria,Proteaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,1,1,1,1
Brachystegia nigerica,Brachystegia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,1,1,0,0,0,0,0,0,0
Brassica napiformis,Brassica,Brassicaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,1,0,0,0
Brassica rapa,Brassica,Brassicaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
Brickellia cavanillesii,Brickellia,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Brickellia squarrosa,Brickellia,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Bridelia ndellensis Beille,Bridelia,Phyllanthaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Bryonia cretica,Bryonia,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,0,0,0,0
Buchanania axillaris ,Buchanania,Anacardiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,1,0,0
Buddleja stachyoides,Buddleja,Scrophulariaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Bursera simaruba ,Bursera,Burseraceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Caesalpinia crista,Caesalpinia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Calamintha macrostema ,Calamintha,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,1,0,1,0,0,0
Calamintha umbrosa ,Calamintha,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,1,0,1,0,0,0
Calamus rotang ,Calamus,Arecaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",0,0,0,0,0,0,1,0,0,0
Calea integrifolia ,Calea,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,1,0,0,0,0,0
Calystegia japonica ,Calystegia,Convolvulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,1,0,0,0,0,0,0,0,0
Canarium zeylanicum ,Canarium,Burseraceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Capparis iberica ,Capparis,Capparaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Capparis incana ,Capparis,Capparaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,1,0,0
Capraria biflora,Capraria,Capparaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cardiospermum halicacabum,Cardiospermum,Sapindaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Carissa lanceolata,Carissa,Apocynaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Carmona retusa,Carmona,Boraginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,1,0,0,0
Casearia glauca,Casearia,Casuarinaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Casearia zeylanica,Casearia,Casuarinaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,1,0,1,1,0,0
Cassia alata ,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cassia fruticosa,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,1,0,0,0,0,0,0,0,0
Cassia glauca ,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cassia siamea,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cassia sieberiana,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,0,0,0,0,0,0,0,0
Cassia skinneri ,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cassia tomentosa,Cassia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cecropia peltata,Cecropia,Urticaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Centaurea salmantica,Centaurea,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,1
Cephalanthus glabratus,Cephalanthus,Rubiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,0,1,0,0
Cephalaria syriaca ,Cephalaria,Caprifoliaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Ceratonia siliqua,Ceratonia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,1,0,0,0,0,0,0
Chamaecrista hispidula,Chamaecrista,Fabaceae,Plantae," Angiosperm, Eudicots,Rosids",1,0,0,1,0,0,0,0,0,0
Chaptalia nutans ,Chaptalia,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Chasmanthera cordifolia ,Chasmanthera,Menispermaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots",1,0,0,0,1,0,1,0,0,0
Cheirolophus arbutifolius,Cheirolophus,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Cheirolophus canariensis ,Cheirolophus,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Cichorium endivia,Cichorium,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,1,0,0,0
Cirsium dipsacolips ,Cirsium,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Cirsium mexicanum,Cirsium,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Cirsium ochrocentrum ,Cirsium,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Cirsium rhaphiolepis ,Cirsium,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,1,0,0,0,0,0,0,0,0
Cissampelos pareira,Cissampelos,Menispermaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots",0,0,0,0,0,0,1,0,0,0
Cissus populnea ,Cissus,Vitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,1,0,0,0,0,0
Citrus sinensis ,Citrus,Rutaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Cleome aspera ,Cleome,Cleomaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,1,1,1,1
Cnidoscolus aconitifolius ,Cnidoscolus,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Cocculus villosus ,Cocculus,Menispermaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots",1,0,0,0,0,0,1,0,0,0
Cola gigantea,Cola,Malvaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Colubrina glomerata ,Colubrina,Rhamnaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Convallaria majalis,Convallaria,Asparagaceae,Plantae,"Tracheophytes, Angiosperm, Monocots",0,1,0,0,0,0,0,0,0,0
Convolvulus microphyllus ,Convolvulus,Convolvulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,1,0,0,1,0,0
Conyza filaginoides ,Conyza,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Cordia alliodora,Cordia,Boraginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,0,1,0,0
Cordia dichotoma,Cordia,Boraginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,1,0,0,1,0,0
Cordia myxa,Cordia,Boraginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,1,0,0,1,0,0
Cordia morelosana,Cordia,Boraginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Cordia tinifolia,Cordia,Boraginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Cornus officinalis,Cornus,Cornaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Costus mexicanus,Costus,Costaceae,Plantae,"Tracheophytes, Angiosperm, Monocots",1,0,0,0,0,0,1,0,0,0
Costus schlechteri,Costus,Costaceae,Plantae,"Tracheophytes, Angiosperm, Monocots",1,0,0,0,0,0,0,0,0,0
Cotoneaster aitchisonii,Cotoneaster,Rosaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,0,0,0,0
Coutarea latiflora,Coutarea,Rubiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Crataegus mexicana,Crataegus,Rosaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
