Botanical Names,Genus,Family,Kingdom,Clade,Leaves,Flowers,Seed,Fruits,Stems,Petioles,Roots,Bark,Rhizome,Outcome
Crataegus pubescens,Crataegus,Rosaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,1,1,1,1
Crotalaria medicaginea,Crotalaria,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Croton draco,Croton,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,1,0,0
Croton niveus,Croton,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Croton tonduzii,Croton,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Croton xalapensis,Croton,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Cucumeropsis mannii,Cucumeropsis,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,1,0,0,0,0,0,0
Cucumis callosus,Cucumis,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Cucumis metuliferus,Cucumis,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Cuscuta chinensis,Cuscuta,Convolvulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Cyathea divergens,Cyathea,Cyatheaceae,Plantae,Tracheophytes,0,0,0,0,0,0,0,1,0,0
Cyclanthera pedata,Cyclanthera,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,1,0,0,0
Cymbalaria muralis,Cymbalaria,Plantaginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Cynanchum schlechtendalii,Cynanchum,Apocynaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,0,0,1,0
Cyperus iria,Cyperus,Cyperaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",0,0,0,0,0,0,1,0,0,0
Datura quercifolia,Datura,Solanaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Decalepis hamiltonii,Decalepis,Apocynaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Decatropis bicolor,Decatropis,Rutaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Delonix regia,Delonix,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Dendrobium loddigesii,Dendrobium,Orchidaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,1,0,0,0,0,0
Dendrobium nobile,Dendrobium,Orchidaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,1,0,0,0,0,0
Descurainia sophia,Descurainia,Brassicaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,1,1,1,1
Desmodium motorium,Desmodium,Fabaceae,Plantae,"Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Dillenia indica,Dillenia,Dilleniaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,0,0,0,0,0,0,0,0,0
Dioscorea asclepiadea,Dioscorea,Dioscoreaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,0,0,1,0,0,0
Dioscorea batatas,Dioscorea,Dioscoreaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,0,0,1,0,0,0
Dioscorea gracillima,Dioscorea,Dioscoreaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,1,0,0,0,0,0,0,0,0
Dioscorea hispida,Dioscorea,Dioscoreaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,0,0,1,0,0,0
Dioscorea transversa,Dioscorea,Dioscoreaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",1,1,1,1,1,1,1,1,1,1
Diospyros ebenaster,Diospyros,Ebenaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,1,0,0,0,0,0,0,0
Diospyros lotus,Diospyros,Ebenaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,1,0,0,0,0,0,0
Elaeocarpus serratus,Elaeocarpus,Elaeocarpaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Elytropappus rhinocerotis,Elytropappus,Asteraceae,Plantae," Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Embelia madagascariensis,Embelia,Primulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Ephedra alata,Ephedra,Ephedraceae,Plantae,"Tracheophytes,Gymnosperms",1,1,1,1,1,1,0,0,0,0
Equisetum robustum,Equisetum,Equisetaceae,Plantae,Tracheophytes,1,0,0,0,0,0,0,0,0,0
Eriodendron anfractuosum,Eriodendron,Malvaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,1,1,1,1
Erythrina variegata,Erythrina,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Eupatorium odoratum,Eupatorium,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Euphorbia antiquorum,Euphorbia,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,1,0,0,0,0,0,0
Euphorbia maculata,Euphorbia,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Evolvulus alsinoides,Evolvulus,Convolvulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Eysenhardtia polystachya,Eysenhardtia,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
Feronia elephantum,Feronia,Rutaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Ficus capensis,Ficus,Moraceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Ficus retusa,Ficus,Moraceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Fouquieria splendens,Fouquieria,Fouquieriaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,1,0,0,0,0,0
Fraxinus alba,Fraxinus,Oleaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Fumaria officinalis,Fumaria,Papaveraceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,0,0,0,1
Geranium maculatum,Geranium,Geraniaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
Glossostemon bruguieri,Glossostemon,Malvaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
Gnetum africanum,Gnetum,Gnetaceae,Plantae,"Tracheophytes,Gymnosperms",1,0,0,0,0,0,0,0,0,0
Grewia flavescens,Grewia,Malvaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Grifola frondosa,Grifola,Meripilaceae,Fungi,,0,0,0,1,0,0,0,0,0,0
Guazuma ulmifolia,Guazuma,Malvaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,0,1,0,0
Gynostemma pentaphyllum,Gynostemma,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,1,0,0,0,0,0
Gynura procumbens,Gynura,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Haematoxylum brasiletto,Haematoxylum,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,0,0,0,0
Haloxylon salicornicum,Haloxylon,Amaranthaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,1,1,1,1
Hammada salicornica,Hammada,Amaranthaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,1,1,1,1
Hamiltonia suaveolens,Hamiltonia,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Hedychium gardnerianum,Hedychium,Zingiberaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",1,0,0,0,0,0,0,0,0,0
Hexachlamys edulis,Hexachlamys,Myrtaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Hodgsonia heteroclita,Hodgsonia,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Holostemma annularis,Holostemma,Apocynaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,1,0,0,0,0,0,0,0
Hybanthus enneaspermus,Hybanthus,Violaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Hygrophila longifolia,Hygrophila,Acanthaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Hyssopus officinalis,Hyssopus,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Ipomoea crassicaulis,Ipomoea,Convolvulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,0,1,0,0
Ipomoea nil,Ipomoea,Convolvulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Isoplexis canariensis,Isoplexis,Plantaginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Isoplexis isabelliana,Isoplexis,Plantaginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Jatropha dioica,Jatropha,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
Jatropha glandulifera,Jatropha,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
Jatropha gossypiifolia,Jatropha,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Juglans mandshurica,Juglans,Juglandaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Justicia spicigera,Justicia,Acanthaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,1,0,0
Kalanchoe laciniata,Kalanchoe,Crassulaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,0,0,0,0,0,0,0,0,0
Kalanchoe verticillata,Kalanchoe,Crassulaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,0,0,0,0,0,0,0,0,0
Kickxia ramosissima,Kickxia,Plantaginaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Krameria triandra,Krameria,Krameriaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
Kyllinga triceps,Kyllinga,Cyperaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",0,0,0,0,0,0,1,0,0,0
Lagerstroemia parviflora,Lagerstroemia,Lythraceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,0,0,0,0
Landolphia dulcis,Landolphia,Apocynaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,1,0,0,0
Lasia spinosa,Lasia,Araceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,0,0,0,0,1,0
Laurus nobilis,Laurus,Lauraceae,Plantae,"Tracheophytes,Angiosperms, Magnoliids",1,0,0,0,0,0,0,0,0,0
Leea crispa,Leea,Vitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,0,0,0,0
Leea indica,Leea,Vitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Lemaireocereus dumortieri,Lemaireocereus,Cactaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,0,1,0,0,0,0,0
Lepidium ruderale,Lepidium,Brassicaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,0,0,0,0
Leucaena leucocephala,Leucaena,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Ligusticum porteri,Ligusticum,Apiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,1,0,0,0
Lilium auratum,Lilium,Liliaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,1,0,0,0,0,0,0,0,0
Lilium speciosum,Lilium,Liliaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,1,0,0,0,0,0,0,0,0
Lepidium virginicum,Lepidium,Brassicaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,1,1,1,1
Litsea coreana,Litsea,Lauraceae,Plantae,"Tracheophytes,Angiosperms, Magnoliids",1,0,0,0,0,0,0,0,0,0
Lobelia laxiflora,Lobelia,Campanulaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,0,1,0,0
Lodoicea sechellarum,Lodoicea,Arecaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",0,0,0,1,0,0,0,0,0,0
Lophophora williamsii,Lophophora,Cactaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,0,0,0,0
Loranthus quandang,Loranthus,Loranthaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,1,0,0,0,0,0,0
Luffa echinata,Luffa,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,0,0,0,0
Luffa tuberosa,Luffa,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Lupinus albus,Lupinus,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Lupinus varius,Lupinus,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Lycopersicon esculentum,Lycopersicon,Solanaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,1,0,0,0,0,0,0,0
Lycoris radiata ,Lycoris,Amaryllidaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,1,0,0,0,0,0,0,0,0
Lycoris squamigera,Lycoris,Amaryllidaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,1,0,0,0,0,0,0,0,0
Lygodium flexuosum,Lygodium,Lygodiaceae,Plantae,Tracheophytes,1,1,1,1,1,1,1,1,1,1
Lyophyllum decastes,Lyophyllum,Lyophyllaceae,Fungi,,0,0,0,1,0,0,0,0,0,0
Lysiloma acapulcense,Lysiloma,Fabaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Malachra alceifolia,Malachra,Malvaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Mallotus philippensis,Mallotus,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,1,0,0,0,0,0
Malvastrum coromandelianum,Malvastrum,Malvaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Malva verticillata,Malva,Malvaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,1,0,0,0,0,0,0,0
Maprounea africana,Maprounea,Euphorbiaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
Matricaria frigidum,Matricaria,Asteraceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Mazus surculosus,Mazus,Mazaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Megacarpaea polyandra,Megacarpaea,Brassicaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,1,1,1,1
Melhania incana,Melhania,Malvaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Melia azedarach,Melia,Meliaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Melissa annua,Melissa,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Mentha longifolia,Mentha,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,1,1,1,1
Mentha pulegium,Mentha,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Mentha suaveolens,Mentha,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,1,1,1,1,1,0,0,0,0
Momordica balsamina,Momordica,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,1,0,0,0,0,0,0
Momordica foetida,Momordica,Cucurbitaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,1,1,1,1,1,0,0,0,0
Morus australis,Morus,Moraceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Murraya paniculata,Murraya,Rutaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",1,0,0,0,0,0,0,0,0,0
Musa balbisiana,Musa,Musaceae,Plantae,"Tracheophytes,Angiosperms,Monocots, Commelinids",0,1,0,0,0,0,0,0,0,0
Nopalea indica,Nopalea,Cactaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,0,1,0,0,0,0,0
Narcissus tazetta,Narcissus,Amaryllidaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,1,0,0,0,0,0,0,0,0
Nauclea orientalis,Nauclea,Rubiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,1,0,0,1,0,0
Nauclea pobeguinii,Nauclea,Rubiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",0,0,0,0,0,0,0,1,0,0
Nicotiana tabacum,Nicotiana,Solanaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Nuphar variegatum,Nuphar,Nymphaeaceae,Plantae,"Tracheophytes,Gymnosperms",1,0,0,0,1,0,0,0,0,0
Ocimum album,Ocimum,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Ocimum campechianum,Ocimum,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Ocimum viride,Ocimum,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Opuntia atropes,Opuntia,Cactaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,0,1,0,0,0,0,0
Opuntia ficus-indica,Opuntia,Cactaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,0,1,0,0,0,0,0
Opuntia imbricata,Opuntia,Cactaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,1,0,0,0,0,0,0
Opuntia lindheimeri,Opuntia,Cactaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,0,0,0,0
Opuntia leucotricha,Opuntia,Cactaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,0,1,0,1,0,0,0
Opuntia vulgaris,Opuntia,Cactaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",1,1,1,1,1,1,0,0,0,0
Orchis latifolia,Orchis,Orchidaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,0,0,1,0,0,0
Orchis mascula,Orchis,Orchidaceae,Plantae,"Tracheophytes,Angiosperms,Monocots",0,0,0,0,0,0,1,0,0,0
Origanum compactum,Origanum,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Origanum syriacum,Origanum,Lamiaceae,Plantae,"Tracheophytes, Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Orthosiphon spiralis,Orthosiphon,Lamiaceae,Plantae,"Angiosperms, Eudicots,Asterids",1,0,0,0,0,0,0,0,0,0
Pachira aquatica,Pachira,Malvaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots,Rosids",0,0,0,0,0,0,1,0,0,0
Pachycereus marginatus,Pachycereus,Cactaceae,Plantae,"Tracheophytes, Angiosperm, Eudicots",0,0,0,1,0,0,1,0,0,0
